Nombre: 56-56	 Codificacion:0	  Longitud:1	Frecuencia:0.46949437
Nombre: 56-13	 Codificacion:110011	  Longitud:6	Frecuencia:0.018597297
Nombre: 56-129	 Codificacion:101011000	  Longitud:9	Frecuencia:0.0014623987
Nombre: 56-167	 Codificacion:11010010010	  Longitud:11	Frecuencia:5.2425615E-4
Nombre: 56-83	 Codificacion:110111	  Longitud:6	Frecuencia:0.022607397
Nombre: 56-194	 Codificacion:101011001111	  Longitud:12	Frecuencia:2.1154195E-4
Nombre: 56-245	 Codificacion:1010110010111000000	  Longitud:19	Frecuencia:0.0
Nombre: 56-220	 Codificacion:10101100101111	  Longitud:14	Frecuencia:5.5184857E-5
Nombre: 13-56	 Codificacion:110101	  Longitud:6	Frecuencia:0.019096082
Nombre: 13-13	 Codificacion:101010	  Longitud:6	Frecuencia:0.0135362325
Nombre: 13-129	 Codificacion:11010010101011	  Longitud:14	Frecuencia:9.08472E-5
Nombre: 13-167	 Codificacion:110100100011010	  Longitud:15	Frecuencia:3.6338883E-5
Nombre: 13-83	 Codificacion:110100100110	  Longitud:12	Frecuencia:2.9979576E-4
Nombre: 13-194	 Codificacion:1010110010111000001	  Longitud:19	Frecuencia:0.0
Nombre: 13-245	 Codificacion:1010110010111000010	  Longitud:19	Frecuencia:0.0
Nombre: 13-220	 Codificacion:1010110010111000011	  Longitud:19	Frecuencia:0.0
Nombre: 129-56	 Codificacion:1101001011	  Longitud:10	Frecuencia:0.0014465568
Nombre: 129-13	 Codificacion:1010110111111	  Longitud:13	Frecuencia:1.1977858E-4
Nombre: 129-129	 Codificacion:100	  Longitud:3	Frecuencia:0.08489538
Nombre: 129-167	 Codificacion:1010111	  Longitud:7	Frecuencia:0.0071314326
Nombre: 129-83	 Codificacion:101001	  Longitud:6	Frecuencia:0.012714958
Nombre: 129-194	 Codificacion:10101101011	  Longitud:11	Frecuencia:4.3304564E-4
Nombre: 129-245	 Codificacion:1010110010110	  Longitud:13	Frecuencia:9.213738E-5
Nombre: 129-220	 Codificacion:1010110011100	  Longitud:13	Frecuencia:1.01351114E-4
Nombre: 167-56	 Codificacion:11010010100	  Longitud:11	Frecuencia:6.325193E-4
Nombre: 167-13	 Codificacion:110100100011011	  Longitud:15	Frecuencia:3.6667785E-5
Nombre: 167-129	 Codificacion:1100100	  Longitud:7	Frecuencia:0.0077919047
Nombre: 167-167	 Codificacion:1011	  Longitud:4	Frecuencia:0.057045907
Nombre: 167-83	 Codificacion:1010110110	  Longitud:10	Frecuencia:9.075277E-4
Nombre: 167-194	 Codificacion:11001011	  Longitud:8	Frecuencia:0.0045651393
