Nombre: 13-13	 Codificacion:1	  Longitud:1	Frecuencia:0.7727387
Nombre: 13-56	 Codificacion:010	  Longitud:3	Frecuencia:0.054707978
Nombre: 13-83	 Codificacion:01110	  Longitud:5	Frecuencia:0.018385466
Nombre: 13-167	 Codificacion:000101110	  Longitud:9	Frecuencia:6.863664E-4
Nombre: 13-129	 Codificacion:00011111	  Longitud:8	Frecuencia:0.002059099
Nombre: 13-194	 Codificacion:0001001100	  Longitud:10	Frecuencia:3.020012E-4
Nombre: 13-245	 Codificacion:0001011111110000	  Longitud:16	Frecuencia:0.0
Nombre: 13-220	 Codificacion:00010111110	  Longitud:11	Frecuencia:1.7387948E-4
Nombre: 56-13	 Codificacion:001	  Longitud:3	Frecuencia:0.05467535
Nombre: 56-56	 Codificacion:0000	  Longitud:4	Frecuencia:0.022097725
Nombre: 56-83	 Codificacion:011110	  Longitud:6	Frecuencia:0.008488537
Nombre: 56-167	 Codificacion:0110011000	  Longitud:10	Frecuencia:5.139006E-4
Nombre: 56-129	 Codificacion:000110101	  Longitud:9	Frecuencia:8.626189E-4
Nombre: 56-194	 Codificacion:00011011101	  Longitud:11	Frecuencia:2.2941991E-4
Nombre: 56-245	 Codificacion:0001011111110001	  Longitud:16	Frecuencia:9.176796E-6
Nombre: 56-220	 Codificacion:00010100101	  Longitud:11	Frecuencia:1.6518234E-4
Nombre: 83-13	 Codificacion:01101	  Longitud:5	Frecuencia:0.017928267
Nombre: 83-56	 Codificacion:011000	  Longitud:6	Frecuencia:0.008262512
Nombre: 83-83	 Codificacion:011111	  Longitud:6	Frecuencia:0.009915016
Nombre: 83-167	 Codificacion:011001101	  Longitud:9	Frecuencia:0.0010801273
Nombre: 83-129	 Codificacion:01100101	  Longitud:8	Frecuencia:0.0020679361
Nombre: 83-194	 Codificacion:000110110	  Longitud:9	Frecuencia:8.677946E-4
Nombre: 83-245	 Codificacion:0001011111111	  Longitud:13	Frecuencia:5.5391145E-5
Nombre: 83-220	 Codificacion:0110011001	  Longitud:10	Frecuencia:5.1698403E-4
Nombre: 167-13	 Codificacion:000100111	  Longitud:9	Frecuencia:6.312668E-4
Nombre: 167-56	 Codificacion:000100010	  Longitud:9	Frecuencia:5.681401E-4
Nombre: 167-83	 Codificacion:011001110	  Longitud:9	Frecuencia:0.0010821717
Nombre: 167-167	 Codificacion:0001101111	  Longitud:10	Frecuencia:4.4188678E-4
Nombre: 167-129	 Codificacion:000110010	  Longitud:9	Frecuencia:7.7555643E-4
Nombre: 167-194	 Codificacion:0001110000	  Longitud:10	Frecuencia:4.4188678E-4
Nombre: 167-245	 Codificacion:0001110001	  Longitud:10	Frecuencia:4.4188678E-4
Nombre: 167-220	 Codificacion:0001101000	  Longitud:10	Frecuencia:4.0581438E-4
Nombre: 129-13	 Codificacion:00011110	  Longitud:8	Frecuencia:0.0019664548
Nombre: 129-56	 Codificacion:00010000	  Longitud:8	Frecuencia:0.0011341413
Nombre: 129-83	 Codificacion:01100100	  Longitud:8	Frecuencia:0.002067064
Nombre: 129-167	 Codificacion:000101000	  Longitud:9	Frecuencia:6.402411E-4
Nombre: 129-129	 Codificacion:011001111	  Longitud:9	Frecuencia:0.0011158488
Nombre: 129-194	 Codificacion:000101101	  Longitud:9	Frecuencia:6.8597257E-4
Nombre: 129-245	 Codificacion:0001010110	  Longitud:10	Frecuencia:3.2926686E-4
Nombre: 129-220	 Codificacion:000101010	  Longitud:9	Frecuencia:6.585337E-4
Nombre: 194-13	 Codificacion:0001100110	  Longitud:10	Frecuencia:4.0538373E-4
Nombre: 194-56	 Codificacion:0001010111	  Longitud:10	Frecuencia:3.4089087E-4
Nombre: 194-83	 Codificacion:000101100	  Longitud:9	Frecuencia:6.725685E-4
Nombre: 194-167	 Codificacion:0001100111	  Longitud:10	Frecuencia:4.0538373E-4
Nombre: 194-129	 Codificacion:000100011	  Longitud:9	Frecuencia:5.988623E-4
